Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP2-5_Full64; Runtime version W-2024.09-SP2-5_Full64;  May  4 12:16 2026
t=0 pxl_in=0 | pxl_out=x valid=0
t=1230000 pxl_in=115 | pxl_out=971 valid=0
t=1231000 pxl_in=114 | pxl_out=971 valid=0
t=1250000 pxl_in=114 | pxl_out=957 valid=0
t=1251000 pxl_in=112 | pxl_out=957 valid=0
t=1270000 pxl_in=112 | pxl_out=938 valid=0
t=1271000 pxl_in=108 | pxl_out=938 valid=0
t=1290000 pxl_in=108 | pxl_out=920 valid=0
t=1291000 pxl_in=109 | pxl_out=920 valid=0
t=1310000 pxl_in=109 | pxl_out=911 valid=0
t=1311000 pxl_in=132 | pxl_out=911 valid=0
t=1330000 pxl_in=132 | pxl_out=938 valid=0
t=1350000 pxl_in=132 | pxl_out=990 valid=1
t=1351000 pxl_in=133 | pxl_out=990 valid=1
t=1370000 pxl_in=133 | pxl_out=1012 valid=1
t=1390000 pxl_in=133 | pxl_out=1007 valid=1
t=1410000 pxl_in=133 | pxl_out=1000 valid=1
t=1411000 pxl_in=134 | pxl_out=1000 valid=1
t=1430000 pxl_in=134 | pxl_out=995 valid=1
t=1450000 pxl_in=134 | pxl_out=994 valid=1
t=1451000 pxl_in=133 | pxl_out=994 valid=1
t=1470000 pxl_in=133 | pxl_out=990 valid=1
t=1490000 pxl_in=133 | pxl_out=979 valid=1
t=1491000 pxl_in=132 | pxl_out=979 valid=1
t=1510000 pxl_in=132 | pxl_out=968 valid=1
t=1511000 pxl_in=130 | pxl_out=968 valid=1
t=1530000 pxl_in=130 | pxl_out=985 valid=1
t=1531000 pxl_in=129 | pxl_out=985 valid=1
t=1550000 pxl_in=129 | pxl_out=1026 valid=1
t=1551000 pxl_in=127 | pxl_out=1026 valid=1
t=1570000 pxl_in=127 | pxl_out=1044 valid=1
t=1571000 pxl_in=126 | pxl_out=1044 valid=1
t=1590000 pxl_in=126 | pxl_out=1040 valid=1
t=1591000 pxl_in=125 | pxl_out=1040 valid=1
t=1610000 pxl_in=125 | pxl_out=1036 valid=1
t=1611000 pxl_in=126 | pxl_out=1036 valid=1
t=1630000 pxl_in=126 | pxl_out=1035 valid=1
t=1631000 pxl_in=127 | pxl_out=1035 valid=1
t=1650000 pxl_in=127 | pxl_out=1039 valid=1
t=1651000 pxl_in=126 | pxl_out=1039 valid=1
t=1670000 pxl_in=126 | pxl_out=1041 valid=1
t=1671000 pxl_in=124 | pxl_out=1041 valid=1
t=1690000 pxl_in=124 | pxl_out=1036 valid=1
t=1691000 pxl_in=122 | pxl_out=1036 valid=1
t=1710000 pxl_in=122 | pxl_out=1027 valid=1
t=1711000 pxl_in=121 | pxl_out=1027 valid=1
t=1730000 pxl_in=121 | pxl_out=1016 valid=1
t=1750000 pxl_in=121 | pxl_out=1006 valid=1
t=1751000 pxl_in=122 | pxl_out=1006 valid=1
t=1770000 pxl_in=122 | pxl_out=1000 valid=1
t=1771000 pxl_in=123 | pxl_out=1000 valid=1
t=1790000 pxl_in=123 | pxl_out=997 valid=1
t=1791000 pxl_in=122 | pxl_out=997 valid=1
t=1810000 pxl_in=122 | pxl_out=994 valid=1
t=1811000 pxl_in=120 | pxl_out=994 valid=1
t=1830000 pxl_in=120 | pxl_out=989 valid=1
t=1831000 pxl_in=118 | pxl_out=989 valid=1
t=1850000 pxl_in=118 | pxl_out=984 valid=1
t=1870000 pxl_in=118 | pxl_out=980 valid=1
t=1890000 pxl_in=118 | pxl_out=975 valid=1
t=1891000 pxl_in=117 | pxl_out=975 valid=1
t=1910000 pxl_in=117 | pxl_out=967 valid=1
t=1911000 pxl_in=114 | pxl_out=967 valid=1
t=1930000 pxl_in=114 | pxl_out=955 valid=1
t=1950000 pxl_in=114 | pxl_out=944 valid=0
t=1951000 pxl_in=135 | pxl_out=944 valid=0
t=1970000 pxl_in=135 | pxl_out=962 valid=0
t=1971000 pxl_in=136 | pxl_out=962 valid=0
t=1990000 pxl_in=136 | pxl_out=1008 valid=1
t=2010000 pxl_in=136 | pxl_out=1033 valid=1
t=2030000 pxl_in=136 | pxl_out=1031 valid=1
t=2050000 pxl_in=136 | pxl_out=1024 valid=1
t=2070000 pxl_in=136 | pxl_out=1018 valid=1
t=2090000 pxl_in=136 | pxl_out=1016 valid=1
t=2110000 pxl_in=136 | pxl_out=1015 valid=1
t=2130000 pxl_in=136 | pxl_out=1010 valid=1
t=2131000 pxl_in=134 | pxl_out=1010 valid=1
t=2150000 pxl_in=134 | pxl_out=1001 valid=1
t=2151000 pxl_in=133 | pxl_out=1001 valid=1
t=2170000 pxl_in=133 | pxl_out=1014 valid=1
t=2171000 pxl_in=131 | pxl_out=1014 valid=1
t=2190000 pxl_in=131 | pxl_out=1051 valid=1
t=2191000 pxl_in=129 | pxl_out=1051 valid=1
t=2210000 pxl_in=129 | pxl_out=1067 valid=1
t=2211000 pxl_in=127 | pxl_out=1067 valid=1
t=2230000 pxl_in=127 | pxl_out=1060 valid=1
t=2231000 pxl_in=125 | pxl_out=1060 valid=1
t=2250000 pxl_in=125 | pxl_out=1052 valid=1
t=2251000 pxl_in=124 | pxl_out=1052 valid=1
t=2270000 pxl_in=124 | pxl_out=1045 valid=1
t=2271000 pxl_in=125 | pxl_out=1045 valid=1
t=2290000 pxl_in=125 | pxl_out=1042 valid=1
t=2291000 pxl_in=126 | pxl_out=1042 valid=1
t=2310000 pxl_in=126 | pxl_out=1044 valid=1
t=2311000 pxl_in=127 | pxl_out=1044 valid=1
t=2330000 pxl_in=127 | pxl_out=1048 valid=1
t=2331000 pxl_in=126 | pxl_out=1048 valid=1
t=2351000 pxl_in=124 | pxl_out=1048 valid=1
t=2370000 pxl_in=124 | pxl_out=1040 valid=1
t=2371000 pxl_in=123 | pxl_out=1040 valid=1
t=2390000 pxl_in=123 | pxl_out=1028 valid=1
t=2410000 pxl_in=123 | pxl_out=1017 valid=1
t=2411000 pxl_in=124 | pxl_out=1017 valid=1
t=2430000 pxl_in=124 | pxl_out=1009 valid=1
t=2450000 pxl_in=124 | pxl_out=1003 valid=1
t=2451000 pxl_in=123 | pxl_out=1003 valid=1
t=2470000 pxl_in=123 | pxl_out=996 valid=1
t=2471000 pxl_in=122 | pxl_out=996 valid=1
t=2490000 pxl_in=122 | pxl_out=990 valid=1
t=2491000 pxl_in=121 | pxl_out=990 valid=1
t=2510000 pxl_in=121 | pxl_out=988 valid=1
t=2530000 pxl_in=121 | pxl_out=989 valid=1
t=2550000 pxl_in=121 | pxl_out=990 valid=1
t=2570000 pxl_in=121 | pxl_out=987 valid=1
t=2590000 pxl_in=121 | pxl_out=981 valid=0
t=2591000 pxl_in=138 | pxl_out=981 valid=0
t=2610000 pxl_in=138 | pxl_out=994 valid=0
t=2611000 pxl_in=139 | pxl_out=994 valid=0
t=2630000 pxl_in=139 | pxl_out=1029 valid=1
t=2631000 pxl_in=140 | pxl_out=1029 valid=1
t=2650000 pxl_in=140 | pxl_out=1051 valid=1
t=2670000 pxl_in=140 | pxl_out=1054 valid=1
t=2690000 pxl_in=140 | pxl_out=1052 valid=1
t=2710000 pxl_in=140 | pxl_out=1048 valid=1
t=2730000 pxl_in=140 | pxl_out=1045 valid=1
t=2731000 pxl_in=139 | pxl_out=1045 valid=1
t=2750000 pxl_in=139 | pxl_out=1043 valid=1
t=2770000 pxl_in=139 | pxl_out=1041 valid=1
t=2771000 pxl_in=137 | pxl_out=1041 valid=1
t=2790000 pxl_in=137 | pxl_out=1038 valid=1
t=2791000 pxl_in=135 | pxl_out=1038 valid=1
